job_id,simplified_skills
1009100393558,power bi
1009100393558,tableau
1009100393558,looker
1009119474185,data analytics
1009119474185,data visualization and reporting
1009119474185,data integrity and quality
1009119474185,data visualization and reporting
1009119474185,sql
1009119474185,etl
1009119474185,data manipulation
1009119474185,sql
1009119474185,data integrity and quality
1009119474185,sql
1009119474185,excel
1009119474185,sql
1009086295250,data analytics
1009086295250,statistical analysis
1009086295250,database building and management
1009086295250,database building and management
1009086295250,data mining
1009086295250,data visualization and reporting
1009086295250,sql
1009086295250,javascript
1009086295250,etl
1009086295250,statistical analysis
1009086295250,statistical analysis
1009086295250,excel
1009086295250,spss/sas
1009086295250,spss/sas
1009086295250,data visualization and reporting
1009080658950,data visualization and reporting
1009080658950,sql
1009080658950,r
1009080658950,python
1009087915111,aws
1009087915111,business intelligence
1009087915111,tableau
1009001890724,data analysis
1009001890724,database building and management
1009001890724,data integrity and quality
1009001890724,data visualization and reporting
1009001890724,data visualization and reporting
1009001890724,data analysis
1009001890724,excel
1009001890724,power bi
1009070149624,database building and management
1009070149624,database building and management
1009070149624,data analysis
1009070149624,data visualization and reporting
1009070149624,data visualization and reporting
1009070149624,data visualization and reporting
1009070149624,excel
1009070149624,powerpoint
1008819305372,data analysis
1008819305372,etl
1008819305372,looker
1008819305372,tableau
1008819305372,sql
1008819305372,python
1009079280221,sql
1009079280221,data manipulation
1009079280221,data visualization and reporting
1009079280221,business intelligence
1009123931950,data modeling
1009123931950,database building and management
1009123931950,data mining
1009123931950,data visualization and reporting
1009123931950,database building and management
1009123931950,sql
1009123931950,python
1009123931950,r
1009123931950,data visualization and reporting
1009123931950,excel
1009110812283,sql
1009110812283,tableau
1009110812283,javascript
1009110812283,etl
1009110985544,data analysis
1009110985544,statistical analysis
1009110985544,tableau
1009110985544,data visualization and reporting
1009128201038,statistical analysis
1009128201038,data science
1009128201038,sql
1009128201038,python
1009128201038,r
1009128201038,javascript
1009113405596,data analysis
1009113405596,excel
1009113405596,power bi
1009113405596,sql
1009113405596,data visualization and reporting
1009113405596,database building and management
1009113405596,statistical analysis
1009113405596,data integrity and quality
1009126491909,sql
1009126491909,sql
1009126491909,database building and management
1009126491909,excel
1009124069421,data visualization and reporting
1009124069421,database building and management
1009128135848,data analysis
1009128135848,power bi
1009128135848,power bi
1009128135848,sql
1009128135848,python
1009128135848,etl
1009128135848,data visualization and reporting
1009128135848,data visualization and reporting
1009128135848,data modeling
1009128135848,etl
1009128637769,data analysis
1009128637769,sql
1009128637769,javascript
1009128637769,data analytics
1009128637769,data analytics
1009032729582,sql
1009032729582,power bi
1009032729582,python
1009032729582,sql
1009032729582,power bi
1009125872671,data modeling
1009125872671,database building and management
1009125872671,database building and management
1009125872671,data integrity and quality
1009125872671,sql
1009125872671,sql
1009070139302,etl
1009070139302,data integrity and quality
1009070139302,data analysis
1009070139302,data visualization and reporting
1009070139302,data visualization and reporting
1009070139302,database building and management
1009070139302,sql
1009070139302,tableau
1009070139302,data science
1009124180754,data analysis
1009124180754,data cleaning
1009124180754,sql
1009124180754,python
1009124180754,etl
1009124180754,tableau
1009124180754,power bi
1009124180754,database building and management
1009124180754,database building and management
1009124599213,data analysis
1009124599213,database building and management
1009124599213,excel
1009126157611,data modeling
1009113749448,data analysis
1009113749448,excel
1009113749448,sql
1009113749448,data modeling
1009113749448,python
1009113749448,r
1009113749448,tableau
1009113749448,power bi
1009104633303,looker
1009104633303,tableau
1009104633303,sql
1009104633303,data mining
1009104633303,data visualization and reporting
1009128668249,data analytics
1009128668249,data modeling
1009128668249,database building and management
1009128668249,business intelligence
1009125922735,sql
1009125922735,tableau
1009129770872,excel
1009129770872,sql
1009060874925,ms word
1009060874925,ms word
1009060874925,excel
1009032859620,data analytics
1009032859620,business intelligence
1009032859620,tableau
1009032859620,power bi
1009032859620,sql
1009032859620,r
1009032859620,python
1009114700731,data visualization and reporting
1009114700731,statistical analysis
1009081442452,etl
1009081442452,sql
1009081442452,python
1009081442452,r
1009081442452,tableau
1009081442452,power bi
1009126747371,sql
1009126747371,excel
1009126747371,data analytics
1009128462070,data manipulation
1009128462070,data cleaning
1009128462070,data visualization and reporting
1009128462070,tableau
1009128462070,spss/sas
1009128462070,r
1009128462070,data analysis
1009128462070,data analytics
1009128462070,statistical analysis
1009123956201,data analysis
1009123956201,sql
1009123956201,python
1009123956201,r
1009123956201,tableau
1009123956201,database building and management
1009123956201,database building and management
1009123956201,database building and management
1009123956201,data analytics
1009115210977,statistical analysis
1009115210977,sql
1009115210977,business intelligence
1009124296092,database building and management
1009124296092,data analysis
1009124296092,data visualization and reporting
1009124296092,statistical analysis
1009124296092,data cleaning
1009124296092,data mining
1009124296092,ai and machine learning
1009124296092,tableau
1009124296092,r
1009124296092,python
1009124296092,javascript
1009124296092,etl
1009124296092,sql
